Frame,Kink_active
6744,1
6824,1
6904,1
6984,1
7064,1
7144,1
7224,1
7304,1
7384,1
7464,1
7544,0
7624,1
7704,0
7784,1
7864,1
7944,1
8024,1
8104,1
8184,1
8264,1
8344,1
8424,1
8504,1
8584,1
8664,1
8744,1
8824,1
8904,1
8984,0
9064,1
9144,1
9224,1
9304,1
9384,1
9464,1
9544,1
9624,1
9704,1
9784,1
9864,1
9944,1
10024,1
10104,1
10184,1
10264,1
10344,1
10424,1
10504,1
10584,1
10664,1
10744,1
10824,1
10904,1
10984,1
11064,1
11144,1
11224,1
11304,1
11384,1
11464,1
11544,0
11624,1
11704,1
11784,1
11864,1
11944,1
12024,1
12104,1
12184,1
12264,1
12344,0
12424,1
12504,0
12584,0
12664,0
12744,0
12824,0
12904,0
12984,0
13064,0
13144,0
13224,0
13304,0
13384,0
13464,0
13544,0
13624,0
13704,0
13784,0
13864,0
13944,0
14024,0
14104,0
14184,0
14264,0
14344,0
14424,0
14504,0
14584,0
14664,0
14744,0
14824,0
14904,0
14984,0
15064,0
15144,0
15224,0
15304,0
15384,0
15464,0
15544,0
15624,0
15704,0
15784,0
15864,0
15944,0
16024,0
16104,0
16184,0
16264,0
16344,0
16424,0
16504,0
16584,0
16664,0
16744,0
16824,0
16904,0
16984,0
17064,0
17144,0
17224,0
17304,0
17384,0
17464,0
17544,0
17624,0
17704,0
17784,0
17864,0
17944,0
18024,0
18104,1
18184,0
18264,0
18344,0
18424,0
18504,0
18584,0
18664,0
18744,0
18824,0
18904,0
18984,0
19064,0
19144,0
19224,0
19304,0
19384,0
19464,0
19544,0
19624,0
19704,0
19784,0
19864,0
19944,0
20024,0
20104,0
20184,0
20264,0
20344,0
20424,0
20504,0
20584,0
20664,0
20744,0
20824,0
20904,0
20984,0
21064,0
21144,0
21224,0
21304,0
21384,0
21464,0
21544,0
21624,0
21704,0
21784,0
21864,0
21944,1
22024,1
22104,0
22184,0
22264,1
22344,0
22424,0
22504,0
22584,0
22664,0
22744,0
22824,1
22904,1
22984,1
23064,1
23144,1
23224,1
23304,1
23384,1
23464,1
23544,1
23624,1
23704,1
23784,1
23864,1
23944,0
24024,0
24104,0
24184,0
24264,0
24344,0
24424,0
24504,0
24584,0
24664,0
24744,0
24824,0
24904,0
24984,0
25064,1
25144,0
25224,1
25304,1
25384,1
25464,0
25544,1
25624,0
25704,0
25784,1
25864,1
25944,1
26024,0
26104,1
26184,1
26264,1
26344,1
26424,1
26504,1
26584,1
26664,1
26744,1
26824,1
26904,1
26984,1
27064,1
27144,1
27224,0
27304,0
27384,0
27464,1
27544,0
27624,1
27704,0
27784,0
27864,0
27944,0
28024,0
28104,0
28184,0
28264,0
28344,1
28424,1
28504,1
28584,1
28664,0
28744,0
28824,0
28904,0
28984,0
29064,0
29144,0
29224,0
29304,0
29384,0
29464,1
29544,0
29624,0
29704,0
29784,0
29864,0
29944,0
30024,0
30104,0
30184,0
30264,0
30344,1
30424,0
30504,1
30584,0
30664,0
30744,0
30824,0
30904,0
30984,0
31064,0
31144,0
31224,0
31304,0
31384,0
31464,0
31544,0
31624,0
31704,0
31784,0
31864,0
31944,0
32024,0
32104,0
32184,0
32264,0
32344,0
32424,0
32504,0
32584,0
32664,0
32744,0
32824,0
32904,0
32984,0
33064,0
33144,0
33224,0
33304,0
33384,0
33464,0
33544,0
33624,0
33704,0
33784,0
33864,0
33944,0
34024,0
34104,0
34184,0
34264,0
34344,0
34424,0
34504,0
34584,0
34664,0
34744,0
34824,0
34904,0
34984,0
35064,0
35144,0
35224,0
35304,0
35384,0
35464,0
35544,0
35624,0
35704,0
35784,0
35864,0
35944,0
36024,0
36104,0
36184,0
36264,0
36344,0
36424,0
36504,0
36584,0
36664,0
36744,0
36824,0
36904,0
36984,0
37064,1
37144,0
37224,0
37304,0
37384,0
37464,0
37544,0
37624,0
37704,0
37784,0
37864,0
37944,0
38024,0
38104,0
38184,0
38264,0
38344,0
38424,0
38504,0
38584,0
38664,0
38744,0
